season,player_of_match,awards
2008,"SE Marsh",5
2008,"SR Watson",4
2008,"YK Pathan",4
2008,"V Sehwag",2
2008,"AC Gilchrist",2
2008,"MS Dhoni",2
2008,"ST Jayasuriya",2
2008,"SM Pollock",2
2008,"Sohail Tanvir",2
2008,"SC Ganguly",2
2008,"M Ntini",2
2008,"BB McCullum",1
2008,"MEK Hussey",1
2008,"MF Maharoof",1
2008,"MV Boucher",1
2008,"DJ Hussey",1
2008,"ML Hayden",1
2008,"KC Sangakkara",1
2008,"JDP Oram",1
2008,"SM Katich",1
2008,"GD McGrath",1
2008,"SA Asnodkar",1
2008,"R Vinay Kumar",1
2008,"IK Pathan",1
2008,"S Sreesanth",1
2008,"A Nehra",1
2008,"CRD Fernando",1
2008,"L Balaji",1
2008,"Shoaib Akhtar",1
2008,"A Mishra",1
2008,"DPMD Jayawardene",1
2008,"GC Smith",1
2008,"DJ Bravo",1
2008,"SP Goswami",1
2008,"A Kumble",1
2008,"KD Karthik",1
2008,"JA Morkel",1
2008,"P Kumar",1
2008,"Umar Gul",1
2008,"SK Raina",1
2009,"SR Tendulkar",2
2009,"M Muralitharan",2
2009,"AC Gilchrist",2
2009,"AB de Villiers",2
2009,"KC Sangakkara",2
2009,"YK Pathan",2
2009,"JP Duminy",2
2009,"Yuvraj Singh",2
2009,"DPMD Jayawardene",2
2009,"JH Kallis",2
2009,"RG Sharma",2
2009,"ML Hayden",2
2009,"LRPL Taylor",2
2009,"MK Pandey",2
2009,"R Dravid",1
2009,"DL Vettori",1
2009,"RP Singh",1
2009,"CH Gayle",1
2009,"RS Bopara",1
2009,"PP Ojha",1
2009,"TM Dilshan",1
2009,"HH Gibbs",1
2009,"MV Boucher",1
2009,"DP Nannes",1
2009,"SK Raina",1
2009,"SB Jakati",1
2009,"MS Dhoni",1
2009,"GC Smith",1
2009,"G Gambhir",1
2009,"A Singh",1
2009,"A Nehra",1
2009,"S Badrinath",1
2009,"A Mishra",1
2009,"DR Smith",1
2009,"Harbhajan Singh",1
2009,"R Bhatia",1
2009,"SK Warne",1
2009,"B Lee",1
2009,"BJ Hodge",1
2009,"LR Shukla",1
2009,"V Sehwag",1
2009,"A Kumble",1
2010,"SR Tendulkar",4
2010,"JH Kallis",3
2010,"A Symonds",3
2010,"YK Pathan",2
2010,"G Gambhir",2
2010,"MK Tiwary",2
2010,"MS Dhoni",2
2010,"M Vijay",2
2010,"SC Ganguly",2
2010,"KP Pietersen",2
2010,"SK Raina",2
2010,"KA Pollard",2
2010,"AD Mathews",1
2010,"WPUJC Vaas",1
2010,"V Sehwag",1
2010,"ML Hayden",1
2010,"AA Jhunjhunwala",1
2010,"RV Uthappa",1
2010,"AC Voges",1
2010,"KM Jadhav",1
2010,"NV Ojha",1
2010,"Harbhajan Singh",1
2010,"DA Warner",1
2010,"SL Malinga",1
2010,"KD Karthik",1
2010,"AT Rayudu",1
2010,"DPMD Jayawardene",1
2010,"PD Collingwood",1
2010,"SK Warne",1
2010,"MJ Lumb",1
2010,"TL Suman",1
2010,"KC Sangakkara",1
2010,"RJ Harris",1
2010,"R Vinay Kumar",1
2010,"PP Chawla",1
2010,"Harmeet Singh",1
2010,"R Ashwin",1
2010,"RG Sharma",1
2010,"R McLaren",1
2010,"JD Unadkat",1
2010,"M Kartik",1
2010,"DE Bollinger",1
2010,"A Kumble",1
2011,"CH Gayle",6
2011,"MEK Hussey",3
2011,"SL Malinga",2
2011,"SK Warne",2
2011,"PC Valthaty",2
2011,"BB McCullum",2
2011,"MM Patel",2
2011,"V Kohli",2
2011,"V Sehwag",2
2011,"Iqbal Abdulla",2
2011,"YK Pathan",2
2011,"R Sharma",2
2011,"BJ Hodge",2
2011,"M Vijay",2
2011,"A Mishra",2
2011,"S Anirudha",1
2011,"SK Trivedi",1
2011,"AB de Villiers",1
2011,"SB Wagh",1
2011,"JH Kallis",1
2011,"SR Tendulkar",1
2011,"MD Mishra",1
2011,"DW Steyn",1
2011,"G Gambhir",1
2011,"Yuvraj Singh",1
2011,"L Balaji",1
2011,"S Sohal",1
2011,"DPMD Jayawardene",1
2011,"SE Marsh",1
2011,"Harbhajan Singh",1
2011,"DA Warner",1
2011,"DE Bollinger",1
2011,"I Sharma",1
2011,"MK Tiwary",1
2011,"J Botha",1
2011,"LRPL Taylor",1
2011,"JA Morkel",1
2011,"KA Pollard",1
2011,"P Parameswaran",1
2011,"AT Rayudu",1
2011,"MR Marsh",1
2011,"BA Bhatt",1
2011,"S Aravind",1
2011,"MS Dhoni",1
2011,"KD Karthik",1
2011,"PP Chawla",1
2011,"AC Gilchrist",1
2011,"WP Saha",1
2011,"SR Watson",1
2011,"S Dhawan",1
2011,"JEC Franklin",1
2011,"SK Raina",1
2012,"CH Gayle",5
2012,"AB de Villiers",3
2012,"SP Narine",3
2012,"G Gambhir",3
2012,"V Sehwag",3
2012,"DW Steyn",3
2012,"AM Rahane",2
2012,"BJ Hodge",2
2012,"RG Sharma",2
2012,"F du Plessis",2
2012,"Shakib Al Hasan",2
2012,"AT Rayudu",2
2012,"Mandeep Singh",2
2012,"SR Watson",2
2012,"DR Smith",2
2012,"BW Hilfenhaus",2
2012,"UT Yadav",2
2012,"RE Levi",1
2012,"IK Pathan",1
2012,"SPD Smith",1
2012,"RA Jadeja",1
2012,"MN Samuels",1
2012,"L Balaji",1
2012,"M Morkel",1
2012,"KA Pollard",1
2012,"AD Mascarenhas",1
2012,"KP Pietersen",1
2012,"JD Ryder",1
2012,"S Nadeem",1
2012,"DA Warner",1
2012,"KMDN Kulasekara",1
2012,"SC Ganguly",1
2012,"SE Marsh",1
2012,"B Lee",1
2012,"CL White",1
2012,"KC Sangakkara",1
2012,"P Negi",1
2012,"Azhar Mahmood",1
2012,"SL Malinga",1
2012,"SK Raina",1
2012,"JH Kallis",1
2012,"A Chandila",1
2012,"DJ Hussey",1
2012,"MEK Hussey",1
2012,"AC Gilchrist",1
2012,"YK Pathan",1
2012,"MS Dhoni",1
2012,"M Vijay",1
2012,"MS Bisla",1
2013,"MEK Hussey",5
2013,"A Mishra",4
2013,"CH Gayle",3
2013,"KA Pollard",3
2013,"AM Rahane",3
2013,"DA Miller",3
2013,"MS Dhoni",3
2013,"RG Sharma",2
2013,"RA Jadeja",2
2013,"G Gambhir",2
2013,"JP Faulkner",2
2013,"DR Smith",2
2013,"JH Kallis",2
2013,"DA Warner",2
2013,"SK Raina",2
2013,"MG Johnson",2
2013,"V Kohli",2
2013,"PA Patel",2
2013,"SP Narine",1
2013,"R Dravid",1
2013,"M Vohra",1
2013,"SK Trivedi",1
2013,"KD Karthik",1
2013,"AJ Finch",1
2013,"SPD Smith",1
2013,"MS Gony",1
2013,"GH Vihari",1
2013,"R Vinay Kumar",1
2013,"V Sehwag",1
2013,"SV Samson",1
2013,"I Sharma",1
2013,"AB de Villiers",1
2013,"YK Pathan",1
2013,"DJG Sammy",1
2013,"AC Gilchrist",1
2013,"SR Tendulkar",1
2013,"KK Cooper",1
2013,"JD Unadkat",1
2013,"SR Watson",1
2013,"Harmeet Singh",1
2013,"MK Pandey",1
2013,"AP Tare",1
2013,"Azhar Mahmood",1
2013,"LJ Wright",1
2013,"BJ Hodge",1
2013,"Harbhajan Singh",1
2014,"GJ Maxwell",4
2014,"RA Jadeja",3
2014,"Sandeep Sharma",3
2014,"DR Smith",3
2014,"RV Uthappa",3
2014,"AM Rahane",2
2014,"SK Raina",2
2014,"PV Tambe",2
2014,"B Kumar",2
2014,"CJ Anderson",2
2014,"AB de Villiers",2
2014,"G Gambhir",2
2014,"UT Yadav",2
2014,"MEK Hussey",2
2014,"DA Warner",2
2014,"JH Kallis",1
2014,"YS Chahal",1
2014,"PA Patel",1
2014,"JP Duminy",1
2014,"CA Lynn",1
2014,"AJ Finch",1
2014,"MM Sharma",1
2014,"M Vijay",1
2014,"KK Nair",1
2014,"RG Sharma",1
2014,"DW Steyn",1
2014,"JP Faulkner",1
2014,"AT Rayudu",1
2014,"Yuvraj Singh",1
2014,"WP Saha",1
2014,"AR Patel",1
2014,"LMP Simmons",1
2014,"SE Marsh",1
2014,"MS Dhoni",1
2014,"YK Pathan",1
2014,"M Vohra",1
2014,"V Sehwag",1
2014,"MK Pandey",1
2015,"DA Warner",4
2015,"A Nehra",3
2015,"AD Russell",3
2015,"AM Rahane",3
2015,"BB McCullum",2
2015,"CH Gayle",2
2015,"Harbhajan Singh",2
2015,"UT Yadav",2
2015,"SK Raina",2
2015,"HH Pandya",2
2015,"AB de Villiers",2
2015,"M Morkel",1
2015,"JP Faulkner",1
2015,"DJ Hooda",1
2015,"GJ Bailey",1
2015,"SPD Smith",1
2015,"MA Agarwal",1
2015,"JP Duminy",1
2015,"SS Iyer",1
2015,"MA Starc",1
2015,"SL Malinga",1
2015,"VR Aaron",1
2015,"TA Boult",1
2015,"PP Chawla",1
2015,"DJ Bravo",1
2015,"NM Coulter-Nile",1
2015,"AT Rayudu",1
2015,"Mandeep Singh",1
2015,"LMP Simmons",1
2015,"EJG Morgan",1
2015,"MC Henriques",1
2015,"RA Jadeja",1
2015,"Z Khan",1
2015,"AR Patel",1
2015,"V Kohli",1
2015,"P Negi",1
2015,"SR Watson",1
2015,"MJ McClenaghan",1
2015,"KA Pollard",1
2015,"RG Sharma",1
2016,"V Kohli",5
2016,"AB de Villiers",4
2016,"RG Sharma",4
2016,"AD Russell",3
2016,"AJ Finch",3
2016,"DA Warner",3
2016,"AM Rahane",2
2016,"B Kumar",2
2016,"AB Dinda",2
2016,"CH Morris",2
2016,"DR Smith",2
2016,"MP Stoinis",2
2016,"KH Pandya",2
2016,"YK Pathan",2
2016,"A Mishra",1
2016,"G Gambhir",1
2016,"M Vohra",1
2016,"Q de Kock",1
2016,"RV Uthappa",1
2016,"SV Samson",1
2016,"Mustafizur Rahman",1
2016,"SA Yadav",1
2016,"PA Patel",1
2016,"CR Brathwaite",1
2016,"AR Patel",1
2016,"RR Pant",1
2016,"A Nehra",1
2016,"P Kumar",1
2016,"SR Watson",1
2016,"A Zampa",1
2016,"HM Amla",1
2016,"KK Nair",1
2016,"MS Dhoni",1
2016,"SK Raina",1
2016,"MC Henriques",1
2016,"BCJ Cutting",1
2017,"BA Stokes",3
2017,"NM Coulter-Nile",3
2017,"Rashid Khan",2
2017,"N Rana",2
2017,"SP Narine",2
2017,"AJ Tye",2
2017,"RV Uthappa",2
2017,"Sandeep Sharma",2
2017,"JD Unadkat",2
2017,"Yuvraj Singh",1
2017,"SPD Smith",1
2017,"CA Lynn",1
2017,"GJ Maxwell",1
2017,"KM Jadhav",1
2017,"AR Patel",1
2017,"SV Samson",1
2017,"JJ Bumrah",1
2017,"KA Pollard",1
2017,"CJ Anderson",1
2017,"B Kumar",1
2017,"CH Gayle",1
2017,"KS Williamson",1
2017,"JC Buttler",1
2017,"SK Raina",1
2017,"MJ McClenaghan",1
2017,"MS Dhoni",1
2017,"HM Amla",1
2017,"G Gambhir",1
2017,"LH Ferguson",1
2017,"DA Warner",1
2017,"RG Sharma",1
2017,"Mohammed Shami",1
2017,"RA Tripathi",1
2017,"RR Pant",1
2017,"LMP Simmons",1
2017,"DR Smith",1
2017,"S Dhawan",1
2017,"MM Sharma",1
2017,"SS Iyer",1
2017,"WP Saha",1
2017,"KK Nair",1
2017,"Mohammed Siraj",1
2017,"AT Rayudu",1
2017,"HV Patel",1
2017,"Washington Sundar",1
2017,"KV Sharma",1
2017,"KH Pandya",1
2018,"Rashid Khan",4
2018,"SP Narine",3
2018,"SR Watson",3
2018,"AB de Villiers",3
2018,"JC Buttler",3
2018,"KL Rahul",2
2018,"S Dhawan",2
2018,"SV Samson",2
2018,"UT Yadav",2
2018,"CH Gayle",2
2018,"N Rana",2
2018,"RG Sharma",2
2018,"AT Rayudu",2
2018,"AS Rajpoot",2
2018,"KS Williamson",2
2018,"CA Lynn",2
2018,"DJ Bravo",1
2018,"SW Billings",1
2018,"JJ Roy",1
2018,"B Stanlake",1
2018,"JC Archer",1
2018,"MS Dhoni",1
2018,"SS Iyer",1
2018,"TG Southee",1
2018,"RR Pant",1
2018,"SA Yadav",1
2018,"RA Jadeja",1
2018,"HH Pandya",1
2018,"Mujeeb Ur Rahman",1
2018,"Ishan Kishan",1
2018,"Kuldeep Yadav",1
2018,"JJ Bumrah",1
2018,"HV Patel",1
2018,"S Gopal",1
2018,"A Mishra",1
2018,"L Ngidi",1
2018,"F du Plessis",1
2018,"AD Russell",1
2019,"AD Russell",4
2019,"RR Pant",3
2019,"MS Dhoni",3
2019,"HH Pandya",3
2019,"Harbhajan Singh",2
2019,"SR Watson",2
2019,"JJ Bumrah",2
2019,"JM Bairstow",2
2019,"KL Rahul",2
2019,"S Dhawan",2
2019,"AB de Villiers",2
2019,"DA Warner",2
2019,"CH Gayle",1
2019,"Rashid Khan",1
2019,"MA Agarwal",1
2019,"SM Curran",1
2019,"S Gopal",1
2019,"AS Joseph",1
2019,"K Rabada",1
2019,"HF Gurney",1
2019,"DL Chahar",1
2019,"KA Pollard",1
2019,"JC Buttler",1
2019,"Imran Tahir",1
2019,"KMA Paul",1
2019,"SL Malinga",1
2019,"R Ashwin",1
2019,"V Kohli",1
2019,"SPD Smith",1
2019,"SS Iyer",1
2019,"KK Ahmed",1
2019,"PA Patel",1
2019,"VR Aaron",1
2019,"RG Sharma",1
2019,"JD Unadkat",1
2019,"Shubman Gill",1
2019,"A Mishra",1
2019,"SO Hetmyer",1
2019,"SA Yadav",1
2019,"F du Plessis",1
2020,"RD Gaikwad",3
2020,"TA Boult",3
2020,"SV Samson",2
2020,"SA Yadav",2
2020,"A Nortje",2
2020,"S Dhawan",2
2020,"KL Rahul",2
2020,"YS Chahal",2
2020,"AB de Villiers",2
2020,"Q de Kock",2
2020,"BA Stokes",2
2020,"AT Rayudu",1
2020,"Mohammed Siraj",1
2020,"S Nadeem",1
2020,"CV Varun",1
2020,"CJ Jordan",1
2020,"R Ashwin",1
2020,"RA Tripathi",1
2020,"Sandeep Sharma",1
2020,"KA Pollard",1
2020,"Shivam Mavi",1
2020,"R Tewatia",1
2020,"RG Sharma",1
2020,"SR Watson",1
2020,"SS Iyer",1
2020,"PK Garg",1
2020,"MK Pandey",1
2020,"AR Patel",1
2020,"CH Gayle",1
2020,"KD Karthik",1
2020,"WP Saha",1
2020,"V Kohli",1
2020,"RA Jadeja",1
2020,"PJ Cummins",1
2020,"Rashid Khan",1
2020,"JC Buttler",1
2020,"Ishan Kishan",1
2020,"PP Shaw",1
2020,"JM Bairstow",1
2020,"Shubman Gill",1
2020,"JJ Bumrah",1
2020,"KS Williamson",1
2020,"MP Stoinis",1
